player_name,first_name,middle_name,last_name,nick_name,suffix,player_url,player_id
Archie Reynolds,Archie,NULL,Reynolds,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=reynoar01,74
Art Howe,Art,NULL,Howe,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=howear01,75
Art Shamsky,Art,NULL,Shamsky,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=shamsar01,76
Atlee Hammaker,Atlee,NULL,Hammaker,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=hammaat01,77
Aurelio Lopez,Aurelio,NULL,Lopez,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=lopezau01,78
Aurelio Monteagudo,Aurelio,NULL,Monteagudo,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=monteau01,79
Aurelio Rodriguez,Aurelio,NULL,Rodriguez,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=rodriau01,80
B.J. Surhoff,B.J.,NULL,Surhoff,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=surhob01,81
Babe Ruth,Babe,NULL,Ruth,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=ruthba01,82
Bake McBride,Bake,NULL,McBride,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=mcbriba01,83
Balor Moore,Balor,NULL,Moore,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=mooreba02,84
Barbaro Garbey,Barbaro,NULL,Garbey,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=garbeba01,85
Barry Bonds,Barry,NULL,Bonds,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=bondsba01,86
Barry Bonnell,Barry,NULL,Bonnell,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=bonneba01,87
Barry Evans,Barry,NULL,Evans,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=evansba01,88
Barry Foote,Barry,NULL,Foote,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=footeba01,89
Barry Jones,Barry,NULL,Jones,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=jonesba01,90
Barry Larkin,Barry,NULL,Larkin,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=larkiba01,91
