card_year,card_num,card_stat_year,card_desc,card_notes,card_player_url,card_player_id,,,
1981,72,1980,Barry Evans,,https://www.baseball-almanac.com/players/player.php?p=evansba01,88,,Barry Evanshttps://www.baseball-almanac.com/players/player.php?p=evansba01,
1975,229,1974,Barry Foote,,https://www.baseball-almanac.com/players/player.php?p=footeba01,89,,Barry Footehttps://www.baseball-almanac.com/players/player.php?p=footeba01,
1987,494,1986,Barry Jones,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=jonesba01,90,,Barry Joneshttps://www.baseball-almanac.com/players/player.php?p=jonesba01,
1987,648,1986,Barry Larkin,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=larkiba01,91,,Barry Larkinhttps://www.baseball-almanac.com/players/player.php?p=larkiba01,
1971,739,1970,Barry Lersch,,https://www.baseball-almanac.com/players/player.php?p=lerscba01,92,,Barry Lerschhttps://www.baseball-almanac.com/players/player.php?p=lerscba01,
1988,633,1987,Barry Lyons,,https://www.baseball-almanac.com/players/player.php?p=lyonsba01,93,,Barry Lyonshttps://www.baseball-almanac.com/players/player.php?p=lyonsba01,
1970,366,1969,Barry Moore,,https://www.baseball-almanac.com/players/player.php?p=mooreba01,94,,Barry Moorehttps://www.baseball-almanac.com/players/player.php?p=mooreba01,
1971,156,1970,Bart Johnson,,https://www.baseball-almanac.com/players/player.php?p=johnsba01,95,,Bart Johnsonhttps://www.baseball-almanac.com/players/player.php?p=johnsba01,
1984,448,1983,Ben Hayes,,https://www.baseball-almanac.com/players/player.php?p=hayesbe01,96,,Ben Hayeshttps://www.baseball-almanac.com/players/player.php?p=hayesbe01,
1990,774,1989,Ben McDonald,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=mcdonbe01,97,,Ben McDonaldhttps://www.baseball-almanac.com/players/player.php?p=mcdonbe01,
1972,761,1971,Ben Oglivie,,https://www.baseball-almanac.com/players/player.php?p=oglivbe01,98,,Ben Ogliviehttps://www.baseball-almanac.com/players/player.php?p=oglivbe01,
1988,7,1987,Benito Santiago,Record Breaker,https://www.baseball-almanac.com/players/player.php?p=santibe01,99,,Benito Santiagohttps://www.baseball-almanac.com/players/player.php?p=santibe01,
1980,262,1979,Benny Ayala,,https://www.baseball-almanac.com/players/player.php?p=ayalabe01,100,,Benny Ayalahttps://www.baseball-almanac.com/players/player.php?p=ayalabe01,
1985,162,1984,Benny Distefano,,https://www.baseball-almanac.com/players/player.php?p=distebe01,101,,Benny Distefanohttps://www.baseball-almanac.com/players/player.php?p=distebe01,
1970,577,1969,Bernie Allen,,https://www.baseball-almanac.com/players/player.php?p=allenbe01,102,,Bernie Allenhttps://www.baseball-almanac.com/players/player.php?p=allenbe01,
1971,478,1970,Bernie Carbo,,https://www.baseball-almanac.com/players/player.php?p=carbobe01,103,,Bernie Carbohttps://www.baseball-almanac.com/players/player.php?p=carbobe01,
1990,701,1989,Bernie Williams,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=willibe02,104,,Bernie Williamshttps://www.baseball-almanac.com/players/player.php?p=willibe02,
1971,26,1970,Bert Blyleven,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=blylebe01,105,,Bert Blylevenhttps://www.baseball-almanac.com/players/player.php?p=blylebe01,
1970,205,1969,Bert Campaneris,,https://www.baseball-almanac.com/players/player.php?p=campabe01,106,,Bert Campanerishttps://www.baseball-almanac.com/players/player.php?p=campabe01,
1980,329,1979,Bert Roberge,,https://www.baseball-almanac.com/players/player.php?p=roberbe01,107,,Bert Robergehttps://www.baseball-almanac.com/players/player.php?p=roberbe01,
1976,103,1975,Biff Pocoroba,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=pocorbi01,108,,Biff Pocorobahttps://www.baseball-almanac.com/players/player.php?p=pocorbi01,
1978,392,1977,Bill Almon,,https://www.baseball-almanac.com/players/player.php?p=almonbi01,109,,Bill Almonhttps://www.baseball-almanac.com/players/player.php?p=almonbi01,
1978,43,1977,Bill Atkinson,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=atkinbi01,110,,Bill Atkinsonhttps://www.baseball-almanac.com/players/player.php?p=atkinbi01,
1988,267,1987,Bill Bean,,https://www.baseball-almanac.com/players/player.php?p=beanbi01,111,,Bill Beanhttps://www.baseball-almanac.com/players/player.php?p=beanbi01,
1972,29,1971,Bill Bonham,,https://www.baseball-almanac.com/players/player.php?p=bonhabi01,112,,Bill Bonhamhttps://www.baseball-almanac.com/players/player.php?p=bonhabi01,
1970,286,1969,Bill Buckner,,https://www.baseball-almanac.com/players/player.php?p=bucknbi01,113,,Bill Bucknerhttps://www.baseball-almanac.com/players/player.php?p=bucknbi01,
1970,167,1969,Bill Burbach,,https://www.baseball-almanac.com/players/player.php?p=burbabi01,114,,Bill Burbachhttps://www.baseball-almanac.com/players/player.php?p=burbabi01,
