card_desc,card_notes,card_player_url,dups,player_id
Bill Almon,,https://www.baseball-almanac.com/players/player.php?p=almonbi01,,107
Bill Atkinson,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=atkinbi01,,108
Bill Bean,,https://www.baseball-almanac.com/players/player.php?p=beanbi01,,109
Bill Bonham,,https://www.baseball-almanac.com/players/player.php?p=bonhabi01,,110
Bill Buckner,,https://www.baseball-almanac.com/players/player.php?p=bucknbi01,,111
Bill Burbach,,https://www.baseball-almanac.com/players/player.php?p=burbabi01,,112
Bill Butler,,https://www.baseball-almanac.com/players/player.php?p=butlebi02,DUP,113
Bill Butler,,https://www.baseball-almanac.com/players/player.php?p=butlebi01,DUP,114
Bill Campbell,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=campbbi02,,115
Bill Castro,,https://www.baseball-almanac.com/players/player.php?p=castrbi01,,116
Bill Caudill,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=caudibi01,,117
Bill Champion,,https://www.baseball-almanac.com/players/player.php?p=champbi01,,118
Bill Dawley,,https://www.baseball-almanac.com/players/player.php?p=dawlebi01,,119
Bill Dillman,,https://www.baseball-almanac.com/players/player.php?p=dillmbi01,,120
Bill Doran,,https://www.baseball-almanac.com/players/player.php?p=doranbi01,DUP,121
Bill Doran,,https://www.baseball-almanac.com/players/player.php?p=doranbi02,DUP,122
Bill Fahey,,https://www.baseball-almanac.com/players/player.php?p=faheybi01,,123
Bill Freehan,,https://www.baseball-almanac.com/players/player.php?p=freehbi01,,124
Bill Gardner,,https://www.baseball-almanac.com/players/player.php?p=gardnbi01,,125
Bill Gogolewski,,https://www.baseball-almanac.com/players/player.php?p=gogolbi01,,126
Bill Greif,,https://www.baseball-almanac.com/players/player.php?p=greifbi01,,127
Bill Gullickson,Record Breaker,https://www.baseball-almanac.com/players/player.php?p=gullibi01,,128
Bill Hands,,https://www.baseball-almanac.com/players/player.php?p=handsbi01,,129
Bill Heath,,https://www.baseball-almanac.com/players/player.php?p=heathbi01,,130
