bills_card_cert,bills_card_spec,bills_card_num,bills_card_year,bills_card_psa_desc,bills_card_grade,bills_card_pop,bills_card_pop_higher,bills_card_stat_year,bills_card_player_id
25520699,101723620,362,1972,METS TEAM,8,200,103,1971,
11156164,101723720,372,1972,ROYALS ROOKIES,8,112,108,1971,
11080224,101723780,378,1972,CHECKLIST #395-525,9,155,13,1971,
25520698,101723810,381,1972,WHITE SOX TEAM,8,145,124,1971,
31594066,101723920,392,1972,PIRATE ROOKIES,9,107,18,1971,
14140492,101723970,397,1972,PHILLIES TEAM,8,113,51,1971,
22700480,101724130,413,1972,WHITE SOX ROOKIES,8,83,51,1971,
14345403,101724540,454,1972,AS TEAM,8,123,54,1971,
24503517,101724570,457,1972,PADRES ROOKES,8,85,35,1971,
1736176,101724740,474,1972,ORIOLES ROOKIES,8,242,88,1971,
1490969,101724781,478,1972,CHECKLIST #526-656 SMALL PRINT ON FRONT,9,147,22,1971,
27242941,101724782,478,1972,CHECKLIST #526-656 LARGE PRINTING ON FRONT,9,46,5,1971,
90167332,101724870,487,1972,TIGERS TEAM,8,112,105,1971,
19441274,101724890,489,1972,EXPOS ROOKIES,8,103,31,1971,
90438973,101725060,506,1972,INDIANS ROOKIES,8,131,81,1971,
11265566,101725220,522,1972,DODGERS TEAM,8,141,71,1971,
90571911,101725240,524,1972,REDS ROOKIES,8,70,30,1971,
18293372,101725470,547,1972,INDIANS TEAM,9,120,38,1971,
17367298,101725820,582,1972,MONTREAL EXPOS TEAM CARD,8,74,19,1971,
18828699,101726020,602,1972,DAVE BRISTOL,8,135,50,1971,
24985031,101726041,604,1972,CHECKLIST #657-787 COPYRIGHT ON RIGHT,9,106,14,1971,
11211053,101726042,604,1972,CHECKLIST #657-787 COPYRIGHT ON LEFT,9,96,11,1971,
31839422,101726170,617,1972,ROYALS TEAM,9,91,29,1971,
19791783,101726210,621,1972,COMMISSIONERS AWARD,9,83,10,1971,
90094318,101726220,622,1972,MVP AWARD,8,163,136,1971,
25977917,101726230,623,1972,CY YOUNG AWARD,8,121,98,1971,
12218844,101726240,624,1972,MINOR LEAGUE PLAYER,8,116,52,1971,
14644470,101726250,625,1972,ROOKIE OF THE YEAR,8,147,69,1971,
14644471,101726260,626,1972,BABE RUTH AWARD,8,165,83,1971,
18828703,101726510,651,1972,REDS TEAM,8,185,77,1971,
25520731,101726680,668,1972,SENATORS TEAM,8,227,92,1971,
16023084,101726790,679,1972,ASTROS ROOKIES,8.5,9,93,1971,
18828711,101726880,688,1972,CARDINALS TEAM,8,183,125,1971,
24337640,101727240,724,1972,A.L. ROOKIES,8,141,76,1971,
25520765,101727310,731,1972,ORIOLES TEAM,9,128,25,1971,
25520761,101727410,741,1972,AL-NL ROOKIE STARS,9,141,11,1971,
25520764,101727710,771,1972,GIANTS TEAM,8,284,199,1971,
90573373,101724600,460,1972,AL DOWNING,8,89,49,1971,7
1694346,101723490,349,1972,AL FITZMORRIS,8,133,87,1971,9
23279989,101726930,693,1972,ALAN GALLAGHER,8,109,23,1971,10
40501298,101726940,694,1972,ALAN GALLAGHER IA,8,135,65,1971,10
25386557,101726000,600,1972,AL KALINE,8,486,186,1971,15
19448621,101725750,575,1972,AL OLIVER,8,192,128,1971,20
11102506,101722740,274,1972,AL SEVERINSEN,8,152,117,1971,24
11791754,101725210,521,1972,ALAN FOSTER,9,62,10,1971,31
