player_name,player_firstname,player_middlename,player_lastname,player_suffix,player_nickname,player_url,player_id_load
Billy Jo Robidoux,Billy,Jo,Robidoux,,,https://www.baseball-almanac.com/players/player.php?p=robidbi01,172
Billy Lee,Billy,,Lee,,,https://www.baseball-almanac.com/players/player.php?p=leebi01,173
Billy Martin,Billy,,Martin,,,https://www.baseball-almanac.com/players/player.php?p=martibi02,174
Billy McCool,Billy,,McCool,,,https://www.baseball-almanac.com/players/player.php?p=mccoobi01,175
Billy Ripken,Billy,,Ripken,,,https://www.baseball-almanac.com/players/player.php?p=ripkebi01,176
Billy Sample,Billy,,Sample,,,https://www.baseball-almanac.com/players/player.php?p=samplbi01,177
Billy Smith,Billy,,Smith,,,https://www.baseball-almanac.com/players/player.php?p=smithbi03,178
Billy Smith,Billy,,Smith,,,https://www.baseball-almanac.com/players/player.php?p=smithbi05,179
Billy Sorrell,Billy,,Sorrell,,,https://www.baseball-almanac.com/players/player.php?p=sorrebi01,180
Billy Williams,Billy,,Williams,,,https://www.baseball-almanac.com/players/player.php?p=willibi01,181
Billy Wynne,Billy,,Wynne,,,https://www.baseball-almanac.com/players/player.php?p=wynnebi02,182
Bip Roberts,Bip,,Roberts,,,https://www.baseball-almanac.com/players/player.php?p=roberbi01,183
Blue Moon Odom,Johnny,Lee,Odom,,Blue Moon,https://www.baseball-almanac.com/players/player.php?p=odombl01,184
Bo Diaz,Bo,,Diaz,,,https://www.baseball-almanac.com/players/player.php?p=diazbo01,185
Bo Jackson,Bo,,Jackson,,,https://www.baseball-almanac.com/players/player.php?p=jacksbo01,186
Bo McLaughlin,Bo,,McLaughlin,,,https://www.baseball-almanac.com/players/player.php?p=mclaubo01,187
Bob Allietta,Bob,,Allietta,,,https://www.baseball-almanac.com/players/player.php?p=alliebo01,188
Bob Allison,Bob,,Allison,,,https://www.baseball-almanac.com/players/player.php?p=allisbo01,189
Bob Apodaca,Bob,,Apodaca,,,https://www.baseball-almanac.com/players/player.php?p=apodabo01,190
Bob Aspromonte,Bob,,Aspromonte,,,https://www.baseball-almanac.com/players/player.php?p=asprobo01,191
Bob Babcock,Bob,,Babcock,,,https://www.baseball-almanac.com/players/player.php?p=babcobo01,192
Bob Bailey,Bob,,Bailey,,,https://www.baseball-almanac.com/players/player.php?p=bailebo01,193
Bob Bailor,Bob,,Bailor,,,https://www.baseball-almanac.com/players/player.php?p=bailobo01,194
Bob Barton,Bob,,Barton,,,https://www.baseball-almanac.com/players/player.php?p=bartobo01,195
Bob Beall,Bob,,Beall,,,https://www.baseball-almanac.com/players/player.php?p=beallbo01,196
Bob Boone,Bob,,Boone,,,https://www.baseball-almanac.com/players/player.php?p=boonebo01,197
Bob Brenly,Bob,,Brenly,,,https://www.baseball-almanac.com/players/player.php?p=brenlbo01,198
Bob Brower,Bob,,Brower,,,https://www.baseball-almanac.com/players/player.php?p=browebo01,199
Bob Burda,Bob,,Burda,,,https://www.baseball-almanac.com/players/player.php?p=burdabo01,200
Bob Christian,Bob,,Christian,,,https://www.baseball-almanac.com/players/player.php?p=chrisbo01,201
Bob Coluccio,Bob,,Coluccio,,,https://www.baseball-almanac.com/players/player.php?p=colucbo01,202
Bob Davis,Bob,,Davis,,,https://www.baseball-almanac.com/players/player.php?p=davisbo02,203
Bob Davis,Bob,,Davis,,,https://www.baseball-almanac.com/players/player.php?p=davisbo01,204
Bob Dernier,Bob,,Dernier,,,https://www.baseball-almanac.com/players/player.php?p=dernibo01,205
Bob Didier,Bob,,Didier,,,https://www.baseball-almanac.com/players/player.php?p=didiebo01,206
Bob Forsch,Bob,,Forsch,,,https://www.baseball-almanac.com/players/player.php?p=forscbo01,207
Bob Galasso,Bob,,Galasso,,,https://www.baseball-almanac.com/players/player.php?p=galasbo01,208
