card_year,card_num,card_stat_year,card_desc,card_notes,card_player_id
1971,15,1970,Andy Messersmith,,66
1972,160,1971,Andy Messersmith,,66
1973,160,1972,Andy Messersmith,,66
1974,267,1973,Andy Messersmith,,66
1975,440,1974,Andy Messersmith,,66
1976,305,1975,Andy Messersmith,,66
1977,80,1976,Andy Messersmith,,66
1978,156,1977,Andy Messersmith,,66
1979,278,1978,Andy Messersmith,,66
1979,427,1978,Andy Replogle,Rookie Card,67
1982,135,1981,Andy Rincon,,68
1984,206,1983,Andy Van Slyke,,69
1985,551,1984,Andy Van Slyke,,69
1986,683,1985,Andy Van Slyke,,69
1987,33,1986,Andy Van Slyke,,69
1988,142,1987,Andy Van Slyke,,69
1989,350,1988,Andy Van Slyke,,69
1989,392,1988,Andy Van Slyke,All Star,69
1970,283,1969,Angel Bravo,,70
1971,538,1970,Angel Bravo,,70
1972,62,1971,Angel Mangual,,71
1973,62,1972,Angel Mangual,,71
1975,452,1974,Angel Mangual,,71
1985,154,1984,Angel Salazar,,72
1987,533,1986,Angel Salazar,Argenis on Card,72
1988,29,1987,Angel Salazar,,72
1989,642,1988,Angel Salazar,,72
1972,672,1971,Archie Reynolds,,73
1973,672,1972,Archie Reynolds,,73
1978,13,1977,Art Howe,Rookie Card,74
1979,327,1978,Art Howe,,74
1980,554,1979,Art Howe,,74
1981,129,1980,Art Howe,,74
1982,453,1981,Art Howe,,74
1983,639,1982,Art Howe,,74
1984,679,1983,Art Howe,,74
1985,204,1984,Art Howe,,74
1970,137,1969,Art Shamsky,,75
1971,445,1970,Art Shamsky,,75
1972,353,1971,Art Shamsky,,75
1973,353,1972,Art Shamsky,,75
1983,342,1982,Atlee Hammaker,,76
1984,85,1983,Atlee Hammaker,,76
1985,674,1984,Atlee Hammaker,,76
1986,223,1985,Atlee Hammaker,,76
1987,781,1986,Atlee Hammaker,,76
1988,157,1987,Atlee Hammaker,,76
1989,572,1988,Atlee Hammaker,,76
1979,444,1978,Aurelio Lopez,Rookie Card,77
1980,101,1979,Aurelio Lopez,,77
1981,291,1980,Aurelio Lopez,,77
1982,728,1981,Aurelio Lopez,,77
1984,95,1983,Aurelio Lopez,,77
1985,539,1984,Aurelio Lopez,,77
1986,367,1985,Aurelio Lopez,,77
1987,659,1986,Aurelio Lopez,,77
1971,129,1970,Aurelio Monteagudo,,78
1972,458,1971,Aurelio Monteagudo,,78
1973,458,1972,Aurelio Monteagudo,,78
1974,139,1973,Aurelio Monteagudo,,78
1970,228,1969,Aurelio Rodriguez,,79
1971,464,1970,Aurelio Rodriguez,,79
1972,319,1971,Aurelio Rodriguez,,79
1973,319,1972,Aurelio Rodriguez,,79
1974,72,1973,Aurelio Rodriguez,,79
1975,221,1974,Aurelio Rodriguez,,79
1976,267,1975,Aurelio Rodriguez,,79
1977,574,1976,Aurelio Rodriguez,,79
1978,342,1977,Aurelio Rodriguez,,79
1979,176,1978,Aurelio Rodriguez,,79
1980,468,1979,Aurelio Rodriguez,,79
1981,34,1980,Aurelio Rodriguez,,79
1982,334,1981,Aurelio Rodriguez,,79
1983,758,1982,Aurelio Rodriguez,,79
1984,269,1983,Aurelio Rodriguez,,79
1987,216,1986,B.J. Surhoff,Rookie Card,80
1988,491,1987,B.J. Surhoff,,80
1989,33,1988,B.J. Surhoff,,80
1976,345,1975,Babe Ruth,All-Time Greats Card,
1975,174,1974,Bake McBride,,81
1976,135,1975,Bake McBride,,81
1977,516,1976,Bake McBride,,81
1978,340,1977,Bake McBride,,81
1979,630,1978,Bake McBride,,81
1980,495,1979,Bake McBride,,81
1981,90,1980,Bake McBride,,81
1982,745,1981,Bake McBride,,81
1983,248,1982,Bake McBride,,81
1984,569,1983,Bake McBride,,81
1974,453,1973,Balor Moore,,82
1975,592,1974,Balor Moore,,82
1978,368,1977,Balor Moore,,82
1979,238,1978,Balor Moore,,82
1980,19,1979,Balor Moore,,82
1985,243,1984,Barbaro Garbey,,83
1986,609,1985,Barbaro Garbey,,83
1987,320,1986,Barry Bonds,Rookie Card,84
1988,450,1987,Barry Bonds,,84
1989,620,1988,Barry Bonds,,84
1978,242,1977,Barry Bonnell,Rookie Card,85
1979,496,1978,Barry Bonnell,,85
1980,632,1979,Barry Bonnell,,85
1981,558,1980,Barry Bonnell,,85
1982,99,1981,Barry Bonnell,,85
1983,766,1982,Barry Bonnell,,85
1984,302,1983,Barry Bonnell,,85
1985,423,1984,Barry Bonnell,,85
1986,119,1985,Barry Bonnell,,85
1981,72,1980,Barry Evans,,86
1982,541,1981,Barry Evans,,86
1975,229,1974,Barry Foote,,87
1976,42,1975,Barry Foote,,87
1977,612,1976,Barry Foote,,87
1978,513,1977,Barry Foote,,87
1979,161,1978,Barry Foote,,87
1980,398,1979,Barry Foote,,87
1981,492,1980,Barry Foote,,87
1982,706,1981,Barry Foote,,87
1983,697,1982,Barry Foote,,87
1987,494,1986,Barry Jones,Rookie Card,88
1988,168,1987,Barry Jones,,88
1989,539,1988,Barry Jones,,88
1987,648,1986,Barry Larkin,Rookie Card,89
1988,102,1987,Barry Larkin,,89
1989,515,1988,Barry Larkin,,89
1971,739,1970,Barry Lersch,,90
1972,453,1971,Barry Lersch,,90
1973,453,1972,Barry Lersch,,90
1974,313,1973,Barry Lersch,,90
1988,633,1987,Barry Lyons,,91
1989,412,1988,Barry Lyons,,91
1970,366,1969,Barry Moore,,92
1971,156,1970,Bart Johnson,,93
1972,126,1971,Bart Johnson,,93
1973,126,1972,Bart Johnson,,93
1974,147,1973,Bart Johnson,,93
1975,446,1974,Bart Johnson,,93
1976,513,1975,Bart Johnson,,93
1977,177,1976,Bart Johnson,,93
1984,448,1983,Ben Hayes,,94
1990,774,1989,Ben McDonald,Rookie Card,95
1972,761,1971,Ben Oglivie,,96
1973,761,1972,Ben Oglivie,,96
1975,344,1974,Ben Oglivie,,96
1976,659,1975,Ben Oglivie,,96
1977,122,1976,Ben Oglivie,,96
1978,286,1977,Ben Oglivie,,96
1979,519,1978,Ben Oglivie,,96
1980,53,1979,Ben Oglivie,,96
1981,415,1980,Ben Oglivie,,96
1982,280,1981,Ben Oglivie,,96
1983,750,1982,Ben Oglivie,,96
1984,190,1983,Ben Oglivie,,96
1985,681,1984,Ben Oglivie,,96
1986,372,1985,Ben Oglivie,,96
1987,586,1986,Ben Oglivie,,96
1988,7,1987,Benito Santiago,Record Breaker,97
1988,404,1987,Benito Santiago,N.L. All-Star,97
1988,693,1987,Benito Santiago,,97
1989,256,1988,Benito Santiago,,97
1980,262,1979,Benny Ayala,,98
1981,101,1980,Benny Ayala,,98
1982,331,1981,Benny Ayala,,98
1983,59,1982,Benny Ayala,,98
1984,443,1983,Benny Ayala,,98
1985,624,1984,Benny Ayala,,98
1985,162,1984,Benny Distefano,,99
1987,651,1986,Benny Distefano,,99
1970,577,1969,Bernie Allen,,100
1971,427,1970,Bernie Allen,,100
1972,644,1971,Bernie Allen,,100
1973,644,1972,Bernie Allen,,100
1971,478,1970,Bernie Carbo,,101
1972,463,1971,Bernie Carbo,,101
1973,463,1972,Bernie Carbo,,101
1974,621,1973,Bernie Carbo,,101
1975,379,1974,Bernie Carbo,,101
1976,278,1975,Bernie Carbo,,101
1977,159,1976,Bernie Carbo,,101
1978,524,1977,Bernie Carbo,,101
1979,38,1978,Bernie Carbo,,101
1980,266,1979,Bernie Carbo,,101
1990,701,1989,Bernie Williams,Rookie Card,102
1971,26,1970,Bert Blyleven,Rookie Card,103
1972,515,1971,Bert Blyleven,,103
1973,515,1972,Bert Blyleven,,103
1974,98,1973,Bert Blyleven,,103
1975,30,1974,Bert Blyleven,,103
1976,235,1975,Bert Blyleven,,103
1977,630,1976,Bert Blyleven,,103
1978,131,1977,Bert Blyleven,,103
1979,308,1978,Bert Blyleven,,103
1980,457,1979,Bert Blyleven,,103
1981,554,1980,Bert Blyleven,,103
1982,685,1981,Bert Blyleven,,103
1983,280,1982,Bert Blyleven,,103
1984,789,1983,Bert Blyleven,,103
1985,355,1984,Bert Blyleven,,103
1986,445,1985,Bert Blyleven,,103
1987,25,1986,Bert Blyleven,,103
1988,295,1987,Bert Blyleven,,103
1989,555,1988,Bert Blyleven,,103
1970,205,1969,Bert Campaneris,,104
1971,440,1970,Bert Campaneris,,104
1972,75,1971,Bert Campaneris,,104
1973,75,1972,Bert Campaneris,,104
1974,155,1973,Bert Campaneris,,104
1974,474,1973,Bert Campaneris,'74 World Series Game #3,104
1975,170,1974,Bert Campaneris,,104
1976,580,1975,Bert Campaneris,,104
1977,373,1976,Bert Campaneris,,104
1978,260,1977,Bert Campaneris,,104
1979,620,1978,Bert Campaneris,,104
1980,505,1979,Bert Campaneris,,104
1981,410,1980,Bert Campaneris,,104
1982,772,1981,Bert Campaneris,,104
1984,139,1983,Bert Campaneris,,104
1980,329,1979,Bert Roberge,,105
1983,611,1982,Bert Roberge,,105
1985,388,1984,Bert Roberge,,105
1986,154,1985,Bert Roberge,,105
1976,103,1975,Biff Pocoroba,Rookie Card,106
1977,594,1976,Biff Pocoroba,,106
1978,296,1977,Biff Pocoroba,,106
1979,555,1978,Biff Pocoroba,,106
1980,132,1979,Biff Pocoroba,,106
1981,326,1980,Biff Pocoroba,,106
1982,88,1981,Biff Pocoroba,,106
1983,676,1982,Biff Pocoroba,,106
1984,438,1983,Biff Pocoroba,,106
1978,392,1977,Bill Almon,,107
1979,616,1978,Bill Almon,,107
1980,436,1979,Bill Almon,,107
1981,163,1980,Bill Almon,,107
1982,521,1981,Bill Almon,,107
1983,362,1982,Bill Almon,,107
1984,241,1983,Bill Almon,,107
1985,273,1984,Bill Almon,1974 First Draft Pick,107
1985,607,1984,Bill Almon,,107
1986,48,1985,Bill Almon,,107
1987,447,1986,Bill Almon,,107
1988,787,1987,Bill Almon,,107
1978,43,1977,Bill Atkinson,Rookie Card,108
1980,415,1979,Bill Atkinson,,108
1988,267,1987,Bill Bean,,109
1972,29,1971,Bill Bonham,,110
1973,29,1972,Bill Bonham,,110
1974,528,1973,Bill Bonham,,110
1975,85,1974,Bill Bonham,,110
1976,151,1975,Bill Bonham,,110
1977,446,1976,Bill Bonham,,110
1978,276,1977,Bill Bonham,,110
1979,354,1978,Bill Bonham,,110
1980,47,1979,Bill Bonham,,110
1981,712,1980,Bill Bonham,,110
1970,286,1969,Bill Buckner,,111
1972,114,1971,Bill Buckner,,111
1973,114,1972,Bill Buckner,,111
1974,505,1973,Bill Buckner,,111
1975,244,1974,Bill Buckner,,111
1976,253,1975,Bill Buckner,,111
1977,27,1976,Bill Buckner,,111
1978,473,1977,Bill Buckner,,111
1979,346,1978,Bill Buckner,,111
1980,135,1979,Bill Buckner,,111
1981,625,1980,Bill Buckner,,111
1982,760,1981,Bill Buckner,,111
1983,250,1982,Bill Buckner,,111
1984,545,1983,Bill Buckner,,111
1985,65,1984,Bill Buckner,,111
1986,443,1985,Bill Buckner,,111
1987,764,1986,Bill Buckner,,111
1988,147,1987,Bill Buckner,,111
1970,167,1969,Bill Burbach,,112
1971,683,1970,Bill Burbach,,112
1970,377,1969,Bill Butler,,113
1971,681,1970,Bill Butler,,114
1975,549,1974,Bill Butler,,113
1976,619,1975,Bill Butler,,113
1974,26,1973,Bill Campbell,Rookie Card,115
1975,226,1974,Bill Campbell,,115
1976,288,1975,Bill Campbell,,115
